locality_id,name,country_code,latitude,longitude,gmaps_place_id
1,"Alleppey","IND",9.501199,76.2720654,"ChIJYWspqvGECDsRWvhBLFVkR7g"
2,"Anjuna","IND",15.5783159,73.7374307,"ChIJwU0I6ofpvzsRfjVbFRoL"
3,"Arambol","IND",15.6888737,73.7045286,"ChIJqb8JH13uvzsRfVDUcx0wCQ8"
4,"Delhi","IND",28.6472799,76.8130725,"ChIJL_P_CXMEDTkRw0ZdG-0GVvw"
5,"Fulidhoo","MDV",3.6805366,73.413786,"ChIJS8V4d3apQDsRco3Kh8lDwKk"
6,"Taroko National Park","TWN",24.1938801,121.4885649,"ChIJ7-fCX4SCaDQRMaqw4IX92d0"
7,"Jaipur","IND",26.8854479,75.6504722,"ChIJgeJXTN9KbDkRCS7yDDrG4Qw"
8,"Jaisalmer","IND",26.903651,70.8597107,"ChIJazkbqii8RzkR427WYNab7_U"
9,"Jodhpur","IND",26.2704897,72.9605029,"ChIJucwGqk6MQTkRuKvhClvqFIE"
10,"Kochi","IND",9.9826809,76.1608473,"ChIJv8a-SlENCDsRkkGEpcqC1Qs"
11,"Morjim","IND",15.6315695,73.7182884,"ChIJEbJ4bVHpvzsRVnhJFvkGCuY"
12,"Munnar","IND",10.0806706,77.0554231,"ChIJbZoJTXmZBzsRDH48VeVQMgY"
13,"Periyar National Park","IND",9.4621603,77.2346587,"ChIJiYwIivL3BjsRe8aNoLkGhB8"
14,"Pushkar","IND",26.4866875,74.5288578,"ChIJLypX5SLdazkR6vLNL5E9c7g"
15,"Taipei","TWN",25.0174719,121.3662921,"ChIJmQrivHKsQjQR4MIK3c41aj8"
16,"Thulusdhoo","MDV",4.3741186,73.648535,"ChIJzz4vY1SFPzsRXvfrdiuxWl4"
17,"Udaipur","IND",24.5669258,73.6710209,"ChIJEUShUGXlZzkRsGi4VYTC2Ns"
18,"Dulan","TWN",22.8365924,121.184381,"ChIJJe6UngGjbzQRgHRi5Z4p0DE"
19,"Kaohsiung","TWN",22.630962,120.302374,"ChIJG3R6elFDbjQRNypzVEqiJkg"
20,"Tainan","TWN",23.1510076,120.0618254,"ChIJE_4_lcx8bjQRTnbcpapMf9Q"
21,"Taichung","TWN",24.2204731,120.675682,"ChIJ7yJ5-d8XaTQRf0SmfuQ-Uoc"
22,"Malapascua","PHL",11.3371065,124.1053299,"ChIJL4V2qmDepzMRYzMNVDZ4I-k"
23,"Cebu","PHL",10.004340,123.548299,"ChIJQ6Q3gL5zqTMRxMbCTo2EC4Q"
